image_id,file_name,species_id,species_name,img_area,total_annotations,total_annotated_area,total_density_%,Clase_8_count,Clase_8_area_sum,Clase_8_area_mean,Clase_8_area_std,Clase_8_density_%,Clase_56_count,Clase_56_area_sum,Clase_56_area_mean,Clase_56_area_std,Clase_56_density_%,Clase_58_count,Clase_58_area_sum,Clase_58_area_mean,Clase_58_area_std,Clase_58_density_%,Clase_79_count,Clase_79_area_sum,Clase_79_area_mean,Clase_79_area_std,Clase_79_density_%,Clase_81_count,Clase_81_area_sum,Clase_81_area_mean,Clase_81_area_std,Clase_81_density_%,Clase_82_count,Clase_82_area_sum,Clase_82_area_mean,Clase_82_area_std,Clase_82_density_%,Clase_83_count,Clase_83_area_sum,Clase_83_area_mean,Clase_83_area_std,Clase_83_density_%,Clase_84_count,Clase_84_area_sum,Clase_84_area_mean,Clase_84_area_std,Clase_84_density_%,Clase_85_count,Clase_85_area_sum,Clase_85_area_mean,Clase_85_area_std,Clase_85_density_%,Clase_86_count,Clase_86_area_sum,Clase_86_area_mean,Clase_86_area_std,Clase_86_density_%,Clase_89_count,Clase_89_area_sum,Clase_89_area_mean,Clase_89_area_std,Clase_89_density_%,Clase_10_count,Clase_10_area_sum,Clase_10_area_mean,Clase_10_area_std,Clase_10_density_%,Clase_V1_count,Clase_V1_area_sum,Clase_V1_area_mean,Clase_V1_area_std,Clase_V1_density_%,Clase_radio_count,Clase_radio_area_sum,Clase_radio_area_mean,Clase_radio_area_std,Clase_radio_density_%
1,0030-10.jpg,0030,Amburana cearensis (Allemão) A.C.Sm.,2250000,54,1088994.01,48.39973377777777,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,2986.91,2986.91,0.0,0.13275155555555557,22,722370.3699999999,32835.01681818181,14961.818230178089,32.105349777777775,3,86175.08,28725.02666666667,7685.0296876741695,3.830003555555556,0,0.0,0.0,0.0,0.0,6,203505.63999999998,33917.60666666667,26119.50238174278,9.04469511111111,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,22,73956.01000000001,3361.6368181818184,1459.0871556147256,3.2869337777777785,0,0.0,0.0,0.0,0.0
2,0030-3.jpg,0030,Amburana cearensis (Allemão) A.C.Sm.,2250000,46,1058049.92,47.0244408888889,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,6973.74,3486.87,1489.9729829094213,0.309944,18,603581.7899999999,33532.32166666667,19146.882968189777,26.825857333333335,5,159108.63,31821.726000000002,12244.767375862231,7.071494666666666,0,0.0,0.0,0.0,0.0,6,229864.24000000002,38310.70666666667,33320.08128685203,10.216188444444445,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,58521.51999999999,3901.434666666666,1990.265956556225,2.6009564444444444,0,0.0,0.0,0.0,0.0
3,0030-4.jpg,0030,Amburana cearensis (Allemão) A.C.Sm.,2250000,40,1088412.56,48.37389155555555,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,11802.79,5901.395,1768.396278001625,0.5245684444444444,19,877071.6399999999,46161.66526315789,25122.816721385712,38.980961777777786,2,87833.77,43916.885,5277.880370115452,3.9037231111111117,0,0.0,0.0,0.0,0.0,2,51383.619999999995,25691.809999999998,20223.15494698589,2.283716444444444,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,60320.74,4021.3826666666664,1577.905721683318,2.6809217777777774,0,0.0,0.0,0.0,0.0
4,0030-5.jpg,0030,Amburana cearensis (Allemão) A.C.Sm.,2250000,40,1183383.1199999999,52.59480533333334,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,18788.34,3757.668,1654.6468177741133,0.8350373333333333,11,513164.52,46651.32,22500.553452602006,22.807312,4,103916.29000000001,25979.072500000002,17443.78642392447,4.6185017777777775,0,0.0,0.0,0.0,0.0,8,497933.87,62241.73375,57474.634674903566,22.130394222222225,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12,49580.1,4131.675,1524.5366027300347,2.20356,0,0.0,0.0,0.0,0.0
5,0030-7.jpg,0030,Amburana cearensis (Allemão) A.C.Sm.,2250000,43,1291263.7299999995,57.38949911111112,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8,53519.74,6689.967500000001,2210.0848574384136,2.378655111111111,20,905087.8399999999,45254.39200000001,26044.866658632833,40.22612622222222,2,92631.7,46315.85,23776.635223025147,4.116964444444445,0,0.0,0.0,0.0,0.0,2,169166.91999999998,84583.45999999999,1302.5896858949864,7.518529777777777,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11,70857.53,6441.5936363636365,3044.8294770849575,3.1492235555555554,0,0.0,0.0,0.0,0.0
6,0030-8.jpg,0030,Amburana cearensis (Allemão) A.C.Sm.,2250000,39,1107189.09,49.208404000000016,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,9585.14,4792.57,2955.678061088521,0.42600622222222223,9,411700.84000000014,45744.53777777778,26582.427144321202,18.29781511111111,14,528173.11,37726.650714285715,18248.63759114951,23.474360444444443,0,0.0,0.0,0.0,0.0,4,102790.84000000001,25697.710000000003,15653.157561865912,4.568481777777778,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,54939.16000000001,5493.916,1768.5231392649503,2.4417404444444446,0,0.0,0.0,0.0,0.0
7,0030-9.jpg,0030,Amburana cearensis (Allemão) A.C.Sm.,2250000,47,1070263.6499999994,47.56727333333334,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,5187.39,5187.39,0.0,0.23055066666666668,17,632629.0499999999,37213.47352941177,18827.235148773816,28.11684666666666,6,161718.96999999997,26953.161666666663,17980.735102580667,7.1875097777777786,0,0.0,0.0,0.0,0.0,4,192536.48,48134.12,35995.49926015289,8.557176888888888,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19,78191.76,4115.355789473685,2784.0919444034885,3.475189333333333,0,0.0,0.0,0.0,0.0
8,0034-2.jpg,0034,Anacardium L.,2250000,45,324264.06,14.411736000000005,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,93042.62,9304.261999999999,5358.710640753883,4.135227555555556,18,173860.79000000004,9658.93277777778,5038.873588293093,7.727146222222222,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,17,57360.65,3374.1558823529413,1680.6769374052037,2.5493622222222223,0,0.0,0.0,0.0,0.0
9,0034-4.jpg,0034,Anacardium L.,2250000,45,473129.87999999995,21.02799466666667,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,120401.15000000001,13377.905555555557,8173.910807451828,5.351162222222223,17,146431.45000000004,8613.614705882354,4827.93519378771,6.508064444444445,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,149693.01,149693.01,0.0,6.653022666666667,0,0.0,0.0,0.0,0.0,18,56604.27,3144.6816666666664,1982.942231469217,2.5157453333333333,0,0.0,0.0,0.0,0.0
10,0034-5.jpg,0034,Anacardium L.,2250000,53,367194.4299999999,16.319752444444443,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,59950.600000000006,9991.766666666668,6994.896228779,2.6644711111111112,25,250444.29999999996,10017.772,4147.798701719183,11.130857777777779,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,22,56799.530000000006,2581.7968181818183,1306.4851395338285,2.524423555555556,0,0.0,0.0,0.0,0.0
