species_a,name_a,species_b,name_b,delta
0114,Cantleya corniculata (Becc.) R.A.Howard,0461,Ochroma pyramidale (Cav. ex Lam.) Urb.,-0.418182257591578
0181,Cotylelobium Pierre,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.40513598078699764
0006,Acer platanoides L.,0114,Cantleya corniculata (Becc.) R.A.Howard,-0.39349912977697266
0550,Quercus mongolica Fisch. ex Ledeb.,0552,Quercus alba L.,-0.3910647730322605
0072,Baillonella toxisperma Pierre,0554,Quercus robur L.,0.3807242629763041
0072,Baillonella toxisperma Pierre,0552,Quercus alba L.,0.3753596299177716
0114,Cantleya corniculata (Becc.) R.A.Howard,0323,Guibourtia demeusei (Harms) J.Léonard,-0.36189437775416233
0114,Cantleya corniculata (Becc.) R.A.Howard,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.3603506650601594
0550,Quercus mongolica Fisch. ex Ledeb.,0554,Quercus robur L.,-0.3512964940466926
0114,Cantleya corniculata (Becc.) R.A.Howard,0181,Cotylelobium Pierre,0.3488946403928148
0114,Cantleya corniculata (Becc.) R.A.Howard,0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",0.34857612924324466
0418,Mansonia altissima (A. Chev.) A. Chev.,0552,Quercus alba L.,0.3205795842132606
0157,Ceriops tagal (Perr.) C.B. Robinson,0181,Cotylelobium Pierre,-0.32005074524232535
0045,Anopyxis klaineana (Pierre) Engl.,0114,Cantleya corniculata (Becc.) R.A.Howard,0.30855172303227385
0552,Quercus alba L.,0648,Triplochiton scleroxylon K. Schum.,0.30705769242780834
0418,Mansonia altissima (A. Chev.) A. Chev.,0554,Quercus robur L.,0.3031910599260469
0007,Acer pseudoplatanus L.,0114,Cantleya corniculata (Becc.) R.A.Howard,-0.3014202809729144
0114,Cantleya corniculata (Becc.) R.A.Howard,0195,Ctenolophon parvifolius Oliv.,0.30043348862828845
0313,Grevillea robusta A.Cunn. ex R.Br.,0552,Quercus alba L.,0.29406017677407503
0181,Cotylelobium Pierre,0366,Juglans regia L.,-0.2929510314746936
0006,Acer platanoides L.,0181,Cotylelobium Pierre,-0.2920298634545849
0554,Quercus robur L.,0648,Triplochiton scleroxylon K. Schum.,0.2903492399386436
0367,Juglans nigra L.,0552,Quercus alba L.,0.28831962798058375
0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0035,Anacardium giganteum Hancock ex Engl.,0.2871044063617803
0181,Cotylelobium Pierre,0552,Quercus alba L.,0.28688276703651905
0366,Juglans regia L.,0552,Quercus alba L.,0.28615205185196746
0095,Brosimum alicastrum Swartz,0554,Quercus robur L.,0.28591096553952855
0114,Cantleya corniculata (Becc.) R.A.Howard,0331,Heritiera utilis (Sprague) Sprague,-0.2851928067876513
0114,Cantleya corniculata (Becc.) R.A.Howard,0542,Pycnanthus angolensis (Welw.) Warb.,-0.28422837943801016
0367,Juglans nigra L.,0554,Quercus robur L.,0.28404945500078027
