species_a,species_a_name,species_b,species_b_name,inter_distance,intra_a,intra_b,contrast
0071,Baikiaea plurijuga Harms,0425,Mezilaurus ita-uba (Meisn.) Taub. ex Mez,0.29437534294459833,0.6624630676293845,0.12157433758219263,-0.3680877246847861
0157,Ceriops tagal (Perr.) C.B. Robinson,0181,Cotylelobium Pierre,0.0726582185964885,0.3733888439031872,0.02876268832314597,-0.3007306253066987
0071,Baikiaea plurijuga Harms,0648,Triplochiton scleroxylon K. Schum.,0.3998897305084547,0.6624630676293845,0.03451537060084674,-0.26257333712092973
0045,Anopyxis klaineana (Pierre) Engl.,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.12338007644130053,0.3666389738639127,0.38265490650255146,-0.25927483006125096
0066,Aucoumea klaineana Pierre,0071,Baikiaea plurijuga Harms,0.4117341565350371,0.21760219624631696,0.6624630676293845,-0.25072891109434736
0071,Baikiaea plurijuga Harms,0195,Ctenolophon parvifolius Oliv.,0.4228408482924303,0.6624630676293845,0.1445569890808498,-0.23962221933695416
0095,Brosimum alicastrum Swartz,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.15064927475991013,0.373588888328799,0.29620412323508927,-0.22293961356888886
0071,Baikiaea plurijuga Harms,0367,Juglans nigra L.,0.43956334654318907,0.6624630676293845,0.030957996752025003,-0.22289972108619538
0035,Anacardium giganteum Hancock ex Engl.,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.1678316465539428,0.09952635975102023,0.38265490650255146,-0.21482325994860865
0269,Erythrophleum ivorense A. Chev,0270,Erythrophleum suaveolens (Guill. & Perr.) Brenan,0.15791958880423432,0.18362962432208574,0.37032055479729653,-0.2124009659930622
0045,Anopyxis klaineana (Pierre) Engl.,0095,Brosimum alicastrum Swartz,0.17929184397268935,0.3666389738639127,0.373588888328799,-0.19429704435610964
0091,Brachystegia Benth.,0092,Brachystegia cynometroides Harms,0.20465118614626276,0.38877160503932806,0.1445998181282847,-0.1841204188930653
0071,Baikiaea plurijuga Harms,0313,Grevillea robusta A.Cunn. ex R.Br.,0.47911456981897493,0.6624630676293845,0.12015375617853329,-0.18334849781040952
0071,Baikiaea plurijuga Harms,0418,Mansonia altissima (A. Chev.) A. Chev.,0.4821791317982136,0.6624630676293845,0.10609990889998436,-0.18028393583117086
0066,Aucoumea klaineana Pierre,0648,Triplochiton scleroxylon K. Schum.,0.03864105756895139,0.21760219624631696,0.03451537060084674,-0.17896113867736557
