species_id,species_name,rank,neighbor_id,neighbor_name,distance
0003,Acacia mangium Willd.,1,0030,Amburana cearensis (Allemão) A.C.Sm.,0.1734357867096192
0003,Acacia mangium Willd.,2,0258,Entandrophragma cylindricum (Sprague) Sprague,0.29968184948267984
0003,Acacia mangium Willd.,3,0625,Terminalia superba Engl.& Diels,0.3218821739712698
0003,Acacia mangium Willd.,4,0399,Lovoa trichilioides Harms,0.3493638179126377
0003,Acacia mangium Willd.,5,0207,Dalbergia nigra (Vell.) Allemão ex Benth.,0.36434744590808094
0006,Acer platanoides L.,1,0461,Ochroma pyramidale (Cav. ex Lam.) Urb.,0.13419284341422713
0006,Acer platanoides L.,2,0366,Juglans regia L.,0.3558992247357427
0006,Acer platanoides L.,3,0041,Aniba rosodora Ducke,0.3600798542797875
0006,Acer platanoides L.,4,0007,Acer pseudoplatanus L.,0.38490866972002746
0006,Acer platanoides L.,5,0313,Grevillea robusta A.Cunn. ex R.Br.,0.4427238290472604
0007,Acer pseudoplatanus L.,1,0006,Acer platanoides L.,0.38490866972002746
0007,Acer pseudoplatanus L.,2,0081,Betula pendula Roth,0.4046293642238234
0007,Acer pseudoplatanus L.,3,0461,Ochroma pyramidale (Cav. ex Lam.) Urb.,0.41236373041255453
0007,Acer pseudoplatanus L.,4,0331,Heritiera utilis (Sprague) Sprague,0.48071100233266467
0007,Acer pseudoplatanus L.,5,0080,Betula papyrifera Marshall,0.4932559050077466
0009,Leptolobium Vogel,1,0354,Intsia bijuga (Colebr.) Kuntze,0.35905390519046776
0009,Leptolobium Vogel,2,0302,Gilbertiodendron preussii (Harms) J.Léonard,0.3609087040362114
0009,Leptolobium Vogel,3,0478,Peltogyne Vogel,0.4707710682600279
0009,Leptolobium Vogel,4,0375,Koompassia malaccensis Maing.,0.4791209811240844
0009,Leptolobium Vogel,5,0301,Gilbertiodendron dewevrei (De Wild.) J.Léonard,0.49311635971411716
0030,Amburana cearensis (Allemão) A.C.Sm.,1,0003,Acacia mangium Willd.,0.1734357867096192
0030,Amburana cearensis (Allemão) A.C.Sm.,2,0207,Dalbergia nigra (Vell.) Allemão ex Benth.,0.35178051362433105
0030,Amburana cearensis (Allemão) A.C.Sm.,3,0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",0.3591276632207141
0030,Amburana cearensis (Allemão) A.C.Sm.,4,0678,Albizia ferruginea (Guill. & Perr.) Benth.,0.3700364587124348
0030,Amburana cearensis (Allemão) A.C.Sm.,5,0399,Lovoa trichilioides Harms,0.41070518169668474
0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,1,0236,Dipterocarpus C.F.Gaertn.,0.17696272576391991
0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,2,0238,Dipterocarpus kerrii King,0.19564151051896334
0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,3,0295,Fraxinus nigra Marshall,0.22384018989105597
0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,4,0147,Ceiba pentandra (L.) Gaertn.,0.24422712950843187
0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,5,0195,Ctenolophon parvifolius Oliv.,0.27954217670362785
0034,Anacardium L.,1,0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",0.3509403101975379
0034,Anacardium L.,2,0045,Anopyxis klaineana (Pierre) Engl.,0.394514630900774
0034,Anacardium L.,3,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.418307964372689
0034,Anacardium L.,4,0678,Albizia ferruginea (Guill. & Perr.) Benth.,0.42012147866763005
0034,Anacardium L.,5,0030,Amburana cearensis (Allemão) A.C.Sm.,0.47870600834861343
0035,Anacardium giganteum Hancock ex Engl.,1,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.1678316465539428
0035,Anacardium giganteum Hancock ex Engl.,2,0147,Ceiba pentandra (L.) Gaertn.,0.29026418204015925
0035,Anacardium giganteum Hancock ex Engl.,3,0045,Anopyxis klaineana (Pierre) Engl.,0.3003056953423575
0035,Anacardium giganteum Hancock ex Engl.,4,0095,Brosimum alicastrum Swartz,0.31069561256548867
0035,Anacardium giganteum Hancock ex Engl.,5,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.3151809845994491
0041,Aniba rosodora Ducke,1,0366,Juglans regia L.,0.06391077372665577
0041,Aniba rosodora Ducke,2,0313,Grevillea robusta A.Cunn. ex R.Br.,0.21212951194707225
0041,Aniba rosodora Ducke,3,0418,Mansonia altissima (A. Chev.) A. Chev.,0.22407142148566953
0041,Aniba rosodora Ducke,4,0157,Ceriops tagal (Perr.) C.B. Robinson,0.23465046468200235
0041,Aniba rosodora Ducke,5,0080,Betula papyrifera Marshall,0.24127423363502237
0045,Anopyxis klaineana (Pierre) Engl.,1,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.12338007644130053
0045,Anopyxis klaineana (Pierre) Engl.,2,0095,Brosimum alicastrum Swartz,0.17929184397268935
0045,Anopyxis klaineana (Pierre) Engl.,3,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.19985197628881704
0045,Anopyxis klaineana (Pierre) Engl.,4,0035,Anacardium giganteum Hancock ex Engl.,0.3003056953423575
0045,Anopyxis klaineana (Pierre) Engl.,5,0238,Dipterocarpus kerrii King,0.35164081712172246
0066,Aucoumea klaineana Pierre,1,0648,Triplochiton scleroxylon K. Schum.,0.03864105756895139
0066,Aucoumea klaineana Pierre,2,0367,Juglans nigra L.,0.05513243336940077
