species_a,species_a_name,species_b,species_b_name,inter_distance,intra_a,intra_b,contrast
0181,Cotylelobium Pierre,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.14622150570976708,0.2627628502619556,0.4164011395062616,-0.27017963379649457
0045,Anopyxis klaineana (Pierre) Engl.,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.16546844206729916,0.42664489754293794,0.4164011395062616,-0.2611764554756388
0092,Brachystegia cynometroides Harms,0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,0.08822582755623629,0.05008607091450365,0.3343633761708376,-0.24613754861460133
0293,Fraxinus americana L.,0297,Fraxinus mandshurica Rupr.,0.05209604836293483,0.2006874935372814,0.29800823641994206,-0.24591218805700724
0269,Erythrophleum ivorense A. Chev,0270,Erythrophleum suaveolens (Guill. & Perr.) Brenan,0.20746443220038657,0.2903085074707726,0.4099958913427453,-0.2025314591423587
0080,Betula papyrifera Marshall,0081,Betula pendula Roth,0.19404399333679487,0.3923039267660832,0.0025807385340572584,-0.19825993342928835
0115,Carapa guianensis Aubl.,0214,Daniellia thurifera Benn.,0.2565217208681283,0.45301009815803,0.4049723941201597,-0.1964883772899017
0323,Guibourtia demeusei (Harms) J.Léonard,0326,Guibourtia ehie (A. Chev.) J. Léonard,0.17119696466481837,0.35528177474147954,0.2984188053844587,-0.18408481007666117
0045,Anopyxis klaineana (Pierre) Engl.,0181,Cotylelobium Pierre,0.25019733396940375,0.42664489754293794,0.2627628502619556,-0.1764475635735342
0006,Acer platanoides L.,0007,Acer pseudoplatanus L.,0.12863684301992287,0.18973256215443007,0.27538384172241354,-0.14674699870249067
0296,Fraxinus ornus L.,0297,Fraxinus mandshurica Rupr.,0.15392943218422664,0.2704807546799976,0.29800823641994206,-0.14407880423571542
0091,Brachystegia Benth.,0301,Gilbertiodendron dewevrei (De Wild.) J.Léonard,0.22621773087710398,0.36962746064415636,0.15292725453998418,-0.14340972976705238
0270,Erythrophleum suaveolens (Guill. & Perr.) Brenan,0375,Koompassia malaccensis Maing.,0.26713563266330875,0.4099958913427453,0.03982575224826281,-0.14286025867943652
0080,Betula papyrifera Marshall,0418,Mansonia altissima (A. Chev.) A. Chev.,0.24979411544674182,0.3923039267660832,0.012409313496156668,-0.1425098113193414
0080,Betula papyrifera Marshall,0366,Juglans regia L.,0.254835188336298,0.3923039267660832,0.0161593253050704,-0.13746873842978524
0035,Anacardium giganteum Hancock ex Engl.,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.2790625498115236,0.20568448529299813,0.4164011395062616,-0.137338589694738
0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.28117988589132226,0.07482690115830566,0.4164011395062616,-0.13522125361493936
0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,0478,Peltogyne Vogel,0.20236580813800606,0.3343633761708376,0.1811470023936011,-0.13199756803283155
0293,Fraxinus americana L.,0296,Fraxinus ornus L.,0.13972778793396656,0.2006874935372814,0.2704807546799976,-0.13075296674603104
0071,Baikiaea plurijuga Harms,0367,Juglans nigra L.,0.44786214856458206,0.5781517144448926,0.02005651109636719,-0.1302895658803105
0236,Dipterocarpus C.F.Gaertn.,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.2868108724863122,0.24925766087492005,0.4164011395062616,-0.1295902670199494
0091,Brachystegia Benth.,0092,Brachystegia cynometroides Harms,0.24152665185257607,0.36962746064415636,0.05008607091450365,-0.12810080879158028
0071,Baikiaea plurijuga Harms,0648,Triplochiton scleroxylon K. Schum.,0.45011681048825375,0.5781517144448926,0.16453642510521302,-0.1280349039566388
0066,Aucoumea klaineana Pierre,0080,Betula papyrifera Marshall,0.2653209495379223,0.1689848833310126,0.3923039267660832,-0.12698297722816093
0114,Cantleya corniculata (Becc.) R.A.Howard,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.4582196771409163,0.5805310376179519,0.36823324125981255,-0.12231136047703556
0367,Juglans nigra L.,0648,Triplochiton scleroxylon K. Schum.,0.04452962570668456,0.02005651109636719,0.16453642510521302,-0.12000679939852846
0030,Amburana cearensis (Allemão) A.C.Sm.,0678,Albizia ferruginea (Guill. & Perr.) Benth.,0.24092493870508702,0.26876027711533945,0.35777892083270585,-0.11685398212761883
0239,Dipteryx odorata (Aubl.) Forsyth f.,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.3000680434080094,0.4164011395062616,0.36823324125981255,-0.11633309609825221
0245,Dryobalanops aromatica C.F.Gaertn.,0380,Libidibia paraguariensis (D.Parodi) G.P.Lewis,0.4879556230199057,0.08261225579476351,0.6037041179533492,-0.11574849493344352
0066,Aucoumea klaineana Pierre,0071,Baikiaea plurijuga Harms,0.46587497271794587,0.1689848833310126,0.5781517144448926,-0.11227674172694668
