species_id,species_name,rank,neighbor_id,neighbor_name,distance
0003,Acacia mangium Willd.,1,0030,Amburana cearensis (Allemão) A.C.Sm.,0.2769347786505397
0003,Acacia mangium Willd.,2,0625,Terminalia superba Engl.& Diels,0.3278660022457368
0003,Acacia mangium Willd.,3,0258,Entandrophragma cylindricum (Sprague) Sprague,0.3319727170460053
0003,Acacia mangium Willd.,4,0678,Albizia ferruginea (Guill. & Perr.) Benth.,0.3556821984048879
0003,Acacia mangium Willd.,5,0399,Lovoa trichilioides Harms,0.3687245393334978
0006,Acer platanoides L.,1,0007,Acer pseudoplatanus L.,0.12863684301992287
0006,Acer platanoides L.,2,0461,Ochroma pyramidale (Cav. ex Lam.) Urb.,0.19338552785772342
0006,Acer platanoides L.,3,0080,Betula papyrifera Marshall,0.3789810185269109
0006,Acer platanoides L.,4,0073,Balfourodendron riedelianum (Engl.) Engl.,0.48639143447872424
0006,Acer platanoides L.,5,0542,Pycnanthus angolensis (Welw.) Warb.,0.493412615513158
0007,Acer pseudoplatanus L.,1,0006,Acer platanoides L.,0.12863684301992287
0007,Acer pseudoplatanus L.,2,0461,Ochroma pyramidale (Cav. ex Lam.) Urb.,0.35524046465079906
0007,Acer pseudoplatanus L.,3,0080,Betula papyrifera Marshall,0.41912978056033745
0007,Acer pseudoplatanus L.,4,0081,Betula pendula Roth,0.4611414403601334
0007,Acer pseudoplatanus L.,5,0331,Heritiera utilis (Sprague) Sprague,0.4635154354232667
0009,Leptolobium Vogel,1,0354,Intsia bijuga (Colebr.) Kuntze,0.32434055257000993
0009,Leptolobium Vogel,2,0302,Gilbertiodendron preussii (Harms) J.Léonard,0.40194537530161223
0009,Leptolobium Vogel,3,0375,Koompassia malaccensis Maing.,0.46076673614932695
0009,Leptolobium Vogel,4,0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,0.4766213538245211
0009,Leptolobium Vogel,5,0371,Khaya grandifoliola C.DC.,0.48449488933067486
0030,Amburana cearensis (Allemão) A.C.Sm.,1,0678,Albizia ferruginea (Guill. & Perr.) Benth.,0.24092493870508702
0030,Amburana cearensis (Allemão) A.C.Sm.,2,0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",0.2736227820877635
0030,Amburana cearensis (Allemão) A.C.Sm.,3,0003,Acacia mangium Willd.,0.2769347786505397
0030,Amburana cearensis (Allemão) A.C.Sm.,4,0034,Anacardium L.,0.388649343772852
0030,Amburana cearensis (Allemão) A.C.Sm.,5,0613,Tabebuia rosea (Bert.) DC.,0.40913809266876644
0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,1,0238,Dipterocarpus kerrii King,0.10633216543342722
