epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,65.1041,1.27181,3.59875,4.08062,1.12977,0,0.06027,0.22347,0.08475,0.05709,0.04933,0.18184,0.06952,0.04256,1.22938,2.9749,2.85591,1.13296,0,0.000184455,0.000184455,0.000184455
2,132.11,1.22288,3.12662,2.68647,1.09667,0,0.65268,0.19788,0.14651,0.09397,0.62608,0.16496,0.11429,0.06088,1.11731,2.77942,1.82482,1.09683,0,0.000369698,0.000369698,0.000369698
3,196.961,1.14063,2.91493,1.9634,1.06325,0,0.61,0.23403,0.1735,0.1085,0.57623,0.19534,0.12643,0.06561,1.06736,2.70906,1.57542,1.06157,0,0.000554579,0.000554579,0.000554579
4,262.846,1.06573,2.80866,1.65226,1.0446,0,0.54676,0.23659,0.17968,0.11695,0.52107,0.20202,0.13548,0.07085,0.97138,2.53245,1.47886,1.02157,0,0.000554779,0.000554779,0.000554779
5,328.793,1.03024,2.74791,1.49594,1.02349,0,0.41852,0.2883,0.20057,0.12943,0.38315,0.23745,0.1518,0.07925,0.94601,2.51921,1.31562,1.01901,0,0.00055383,0.00055383,0.00055383
6,393.855,1.01099,2.73362,1.44379,1.01766,0,0.41957,0.27593,0.20506,0.13657,0.40914,0.22268,0.16487,0.08559,0.92813,2.53326,1.25857,1.01578,0,0.000552612,0.000552612,0.000552612
7,459.261,0.96626,2.6469,1.3527,1.00057,0,0.42124,0.28857,0.21905,0.1431,0.38817,0.24054,0.16711,0.08479,0.91374,2.54923,1.2228,1.00024,0,0.000551125,0.000551125,0.000551125
8,526.216,0.96619,2.64122,1.32688,0.9958,0,0.43253,0.32098,0.24068,0.15372,0.39871,0.25334,0.17652,0.09224,0.89333,2.47811,1.1828,1.00059,0,0.000549372,0.000549372,0.000549372
9,593.493,0.95075,2.54427,1.28498,0.98667,0,0.46476,0.31113,0.25788,0.16604,0.4199,0.26823,0.19934,0.1061,0.87429,2.41756,1.18468,0.99794,0,0.000547353,0.000547353,0.000547353
10,659.694,0.94791,2.62612,1.26934,0.99055,0,0.42618,0.33725,0.26759,0.16811,0.38553,0.26674,0.19302,0.09753,0.87879,2.4491,1.19818,0.98979,0,0.000545072,0.000545072,0.000545072
11,726.278,0.91539,2.54309,1.2331,0.97779,0,0.40641,0.33854,0.26118,0.16762,0.3568,0.28987,0.19884,0.10195,0.87107,2.38873,1.15516,0.98977,0,0.00054253,0.00054253,0.00054253
12,791.106,0.91833,2.51999,1.21895,0.98177,0,0.44341,0.31598,0.276,0.17642,0.39027,0.27428,0.20738,0.10699,0.8517,2.38388,1.14736,0.98849,0,0.000539729,0.000539729,0.000539729
13,857.873,0.91671,2.49864,1.18413,0.98143,0,0.48091,0.3264,0.3004,0.18807,0.39749,0.30243,0.22037,0.11076,0.84577,2.35765,1.11803,0.97954,0,0.000536673,0.000536673,0.000536673
14,923.526,0.89237,2.40173,1.15212,0.97056,0,0.43063,0.3696,0.29456,0.18012,0.38343,0.3189,0.22443,0.11346,0.85971,2.31764,1.1086,0.98243,0,0.000533364,0.000533364,0.000533364
